Ancestral Recall,Black Lotus,Time Walk,Sol Ring,Time Vault,Mox Sapphire,Mox Ruby,Mox Jet
Mana Drain,Mishra's Workshop,"Narset, Parter of Veils",Urza's Saga,Mox Emerald,Mana Vault,Mana Crypt,Mox Pearl
Force of Will,Tolarian Academy,Timetwister,Ancient Tomb,"Lutri, the Spellchaser","Urza, Lord High Artificer",Strip Mine,Library of Alexandria
Force of Negation,Mox Diamond,Karn the Great Creator,"Ragavan, the Nimble Pilferer",Manifold Key,Hullbreacher,Wasteland,Tinker
"Teferi, Time Raveler","Emry, Lurker of the Loch",Thassa's Oracle,White Plume Adventurer,Scalding Tarn,Echo of Eons,Wrenn and Six,Bolas's Citadel
Flooded Strand,Polluted Delta,Tainted Pact,"Minsc & Boo, Timeless Heroes",Vampiric Tutor,Lion's Eye Diamond,Wooded Foothills,Underground Sea
Misty Rainforest,Prismatic Vista,Thoughtseize,Chrome Mox,Bloodstained Mire,Grim Monolith,Arid Mesa,Demonic Tutor
Swords to Plowshares,Mox Opal,Dark Ritual,Palace Jailer,Lurrus of the Dream Den,Winter Orb,Verdant Catacombs,Watery Grave
Solitude,City of Traitors,Doomsday,Lotus Petal,Mental Misstep,Counterspell,Taiga,Entomb
Jace the Mind Sculptor,Oko,Necropotence,Trinisphere,Orcish Bowmasters,Upheaval,Fastbond,Reanimate
Miscalculation,Mishra's Bauble,Demonic Consultation,Blood Moon,Marsh Flats,Phyrexian Metamorph,Dark Depths,Duress
Null Rod,Painters Servant,Gitaxian probe,Chalice of the void,Urza's bauble,Thran Dynamo,Boseiju who endures,Mind Twist
Ponder,Grind Stone,Preordain,Plateau,Bayou,Tundra,Savannah,Brainstorm
Spell Pierce,Nihil Spellbomb,Zagoth triome,Simian Spirit Guide,Animate dead,Balance,Crop Rotation,Darkslick Shores
Hallowed Fountain,Volcanic Island,Raffines tower,Caves of Chaos Adventurer,Xander's lounge,Raugrin Triome,Veil of summer,Grief
Spellseeker,Tropical Island,Windswept heath,Collector Ouphe,Dauthi voidwalker,Azorius Signet,Endurance,Inquisition of Kozilek
Snapcaster Mage,Phyrexian Revoker,Breeding pool,Fable of the Mirror Breaker,Ziatora's Proving Ground,Mystic Confluence,Lightning Bolt,The One Ring
Skyclave Apparition,Otawara,Overgrown Tomb,Pyroblast,Dress Down,Spara's Headquarters,crucible of worlds,Collective Brutality
Path to Exile,,,,,,,